iter	Passed	Remaining
768	1649	495
769	1651	493
770	1653	491
771	1656	489
772	1658	486
773	1659	484
774	1662	482
775	1664	480
776	1666	478
777	1668	476
778	1670	473
779	1672	471
780	1674	469
781	1676	467
782	1678	465
783	1680	463
784	1682	460
785	1684	458
786	1686	456
787	1689	454
788	1691	452
789	1693	450
790	1695	447
791	1697	445
792	1699	443
793	1701	441
794	1703	439
795	1704	436
796	1706	434
797	1708	432
798	1710	430
799	1712	428
800	1714	426
801	1716	423
802	1718	421
803	1720	419
804	1722	417
805	1725	415
806	1727	413
807	1729	410
808	1731	408
809	1733	406
810	1735	404
811	1737	402
812	1739	400
813	1741	398
814	1743	395
815	1745	393
816	1747	391
817	1749	389
818	1752	387
819	1754	385
820	1756	382
821	1758	380
822	1760	378
823	1762	376
824	1764	374
825	1766	372
826	1769	370
827	1771	367
828	1773	365
829	1775	363
830	1776	361
831	1779	359
832	1781	357
833	1783	354
834	1785	352
835	1787	350
836	1789	348
837	1791	346
838	1792	343
839	1794	341
840	1796	339
841	1798	337
842	1800	335
843	1802	333
844	1804	331
845	1806	328
846	1809	326
847	1811	324
848	1813	322
849	1815	320
850	1817	318
851	1819	316
852	1821	313
853	1824	311
854	1826	309
855	1828	307
856	1830	305
857	1831	303
858	1833	300
859	1835	298
860	1837	296
861	1839	294
862	1841	292
863	1844	290
864	1846	288
865	1848	286
866	1850	283
867	1852	281
868	1854	279
869	1856	277
870	1858	275
871	1860	273
872	1862	270
873	1864	268
874	1866	266
875	1868	264
876	1871	262
877	1873	260
878	1875	258
879	1877	255
880	1879	253
881	1881	251
882	1883	249
883	1885	247
884	1887	245
885	1889	243
886	1891	240
887	1893	238
888	1895	236
889	1897	234
890	1899	232
891	1901	230
892	1903	228
893	1905	225
894	1907	223
895	1909	221
896	1911	219
897	1913	217
898	1915	215
899	1917	213
900	1919	210
901	1921	208
902	1923	206
903	1926	204
904	1928	202
905	1930	200
906	1932	198
907	1934	196
908	1936	193
909	1938	191
910	1940	189
911	1942	187
912	1945	185
913	1947	183
914	1949	181
915	1951	178
916	1953	176
917	1955	174
918	1957	172
919	1959	170
920	1961	168
921	1963	166
922	1966	164
923	1967	161
924	1969	159
925	1972	157
926	1974	155
927	1976	153
928	1978	151
929	1980	149
930	1982	146
931	1984	144
932	1986	142
933	1988	140
934	1990	138
935	1992	136
936	1994	134
937	1996	131
938	1999	129
939	2001	127
940	2003	125
941	2005	123
942	2007	121
943	2009	119
944	2011	117
945	2013	114
946	2015	112
947	2017	110
948	2019	108
949	2021	106
950	2023	104
951	2025	102
952	2027	99
953	2029	97
954	2031	95
955	2033	93
956	2035	91
957	2037	89
958	2039	87
959	2041	85
960	2043	82
961	2045	80
962	2047	78
963	2049	76
964	2051	74
965	2053	72
966	2055	70
967	2057	68
968	2059	65
